phrase,cluster
co worker,36
promise,52
do all,63
less than a year,18
pride itself,52
go work,43
take you,63
take company,38
do employee,46
the usa,50
old property,27
call you,11
a department,6
have problem,59
call I,11
tell we,62
provide we,63
put it,63
proper training,32
child,41
have understanding,58
work room,56
no balance,0
the rank,30
which department,6
find job,43
put money,31
turn it,15
full time employee,46
a few year,18
the face,55
the focus,55
enough money,31
make goal,51
poor upper management,45
emergency,39
inability,52
the coworker,36
have coverage,14
robot,44
my colleague,36
these people,41
their benefit,9
accept offer,31
an offer,31
show,62
your self,41
great training program,32
a woman,41
say they,62
their hand,55
five year,18
do yourself,63
learn experience,4
have area,50
decent job,43
focus,55
my case,59
any other job,43
the job training,32
the public,41
take they,63
their time,22
pay position,30
okay place,50
sick day,21
move property,27
hospitality,2
another property,27
water,49
visit,54
more money,31
a great work environment,57
work advancement,24
have kid,41
work pm,11
all cost,31
kid,41
sit desk,56
good pay |,31
| day,23
have way,16
the economy,33
sale goal,33
base salary,31
know employee,46
assist customer,2
get break,21
a little bit,63
use tactic,52
make they,63
this location,50
love opportunity,5
compare position,30
make environment,57
go manager,45
situation,59
answer call,11
run property,27
work department,6
the accounting department,6
the it department,6
that person,41
the sale,33
all company,38
the executive level,45
career path,24
the work-life balance,0
the use,58
boston,50
keep we,63
certain manager,45
summer friday,21
move office,6
certain position,30
company event,12
not many con,8
overall great place,50
talk game,13
offer time,22
the work/life balance,0
have location,50
expect company,38
| ability,53
experience con,4
manage employee,46
great work-life balance,0
little opportunity,5
lack skill,53
leadership skill,45
the only downside,8
ok pay,31
stay year,18
work side,43
experience lot,4
avoid cost,31
market pay,31
qualification,32
terrible pay,31
grow pain,25
so much opportunity,5
the hard work,43
monday,20
frustration,52
match,12
solid place,50
their team,34
return office,56
amount,31
a revolving door,54
the commute,54
have one,63
medical benefit,9
a conversation,13
a hybrid schedule,17
listen employee,46
complete work,43
have trouble,59
loss,51
hybrid work schedule,17
work leadership,45
enjoy environment,57
great benefit package,9
the new ceo,45
think company,38
develop talent,53
avoid company,38
make job,43
another department,6
your butt,55
the property manager,27
a review,3
the main office,56
my area,50
age,18
many year,18
a good way,16
our property,27
appointment,12
make day,23
get foot,55
low pay |,31
fun environment,57
| great leadership,45
fun work environment,57
go employee,46
fantastic company,37
a community manager,45
have focus,55
have change,15
my way,16
see downside,8
work sun,43
the skill,53
care culture,14
decent company,37
fill position,30
the highway,54
my wife,36
talk culture,1
the corporation,38
this issue,59
your growth,25
care member,14
pay leave,21
a positive culture,1
coaching,32
put we,63
allow growth,25
come management,45
regional manager,45
cut staff,47
employ year,18
phone call,11
treat family,40
take level,29
a large corporation,38
their opinion,48
our customer,2
great leader,45
hit goal,51
the front line,54
little support,7
company goal,38
management position,45
gm,45
do little,63
not all,41
have child,41
team atmosphere,34
advice,39
hold position,30
offer support,7
dvp,42
svp,42
friendly coworker,36
a solution,59
a check,31
the loop,54
certification,32
their role,28
utility,9
garbage,59
| poor communication,13
an emergency,39
get support,7
fun people,12
grow team,34
lose company,38
such a large company,38
tech,44
a slap,55
need pay,31
well pay,31
some management,45
amazing opportunity,5
their team member,34
volunteer opportunity,24
| poor pay,31
depend department,6
a team member,34
their culture,1
other area,50
a corporation,38
a positive attitude,52
want more,63
my peer,36
all team member,34
work ton,43
the training process,32
an awesome company,37
| great opportunity,5
encouragement,52
happen time,22
positive review,3
maintain culture,1
mean lot,63
give that,63
the starting pay,31
| customer service,2
their commitment,52
atlanta,50
7 year,18
wonderful people,41
a wonderful company,37
great customer,2
similar role,28
the path,54
a weekend,20
retain employee,46
your paycheck,31
low level,29
hard work employee,46
a sale job,33
district manager,45
lose sight,55
sight,55
give resource,60
the resource,60
reward employee,46
a good balance,0
write review,3
commitment,52
help anything,39
a team player,34
many reason,58
one con,8
the reward,52
a great culture,1
a mistake,59
implement they,63
solution,59
treat staff,47
reward those,52
their number,11
raise rent,26
rent,26
put hour,22
the pleasure,4
ask more,63
back stabbing,52
property manager |,27
many benefit,9
| low wage,31
have support,7
reservation,12
site manager,45
say place,50
| nice people,41
the last couple,18
have ton,63
community manager,45
| senior management,45
their bill,31
take break,21
have worker,46
their worker,46
talk other,13
manage people,45
repetitive work,43
have little,63
locate area,50
honesty,52
amazing benefit,9
6 pm,22
do amount,31
several year,18
family member,40
3 people,41
make fun,12
different department,6
great work life balance,0
| hohocken,6
love place,50
go mile,54
the extra mile,54
a good work life balance,0
annual raise,19
pa,50
expansion,25
ca,50
promotion opportunity,24
its hard,59
communicate employee,46
personal development,24
hybrid schedule,17
some role,28
answer phone,11
pm,11
their phone,11
allow balance,0
a great way,16
an emphasis,55
pay vacation,21
drink aid,39
see year,18
bagel,49
regional office,50
leadership position,45
flex time,22
fall ear,55
leasing,26
over a year,18
ethic,52
go week,20
3 week,18
not a great place,50
compare industry,33
hire staff,47
not enough employee,46
work alot,43
empower employee,46
some issue,59
get pm,11
a reit,27
some benefit,9
make work,43
| nice coworker,36
| great work-life balance,0
circle,54
employee perk,46
error,59
share knowledge,60
chaos,59
no growth opportunity,25
deliver result,51
a breath,55
an individual,41
enthusiasm,52
the region,50
lose employee,46
have some,63
digital realty,27
the offer,31
a blessing,59
cooperation,34
| truction manager,45
daily operation,23
great salary,31
great work/life balance,0
strong leadership,45
grow role,25
tell thing,62
cover you,14
deal,31
dallas,50
decent salary,31
the rapid growth,25
support you,7
pay they,31
go lunch,49
| amazing culture,1
level,29
dei,63
acquire company,38
economy,33
different area,50
customer satisfaction,2
work customer,2
streamline process,35
lip service,2
a certain level,29
terrible place,50
my mind,55
look year,18
have coworker,36
much work,43
give ability,53
the raise,19
other position,30
| limited opportunity,5
feel day,23
repair,59
take customer,2
their customer,2
pay raise,19
have all,63
discussion,13
decision-making,48
do people,41
go training,32
a group,40
espp,42
show employee,46
work option,43
excellent pay,31
not a bad place,50
expense,31
awesome benefit,9
| big company,38
flexible scheduling,17
sale team,33
do event,12
help time,22
have phone,11
have I,63
90 day,18
a meeting,12
edge technology,44
present opportunity,5
our ceo,45
keep customer,2
live area,50
global company,38
drink,49
grow lot,25
| great experience,4
change well,15
have spirit,52
serve customer,2
your people,41
no micro,45
all department,6
this environment,57
some process,35
the trench,54
| advancement opportunity,24
some thing,61
work individual,43
a customer,2
great customer service,2
bonus structure,10
your voice,55
internal process,35
their subordinate,46
make way,16
a workplace,56
work number,11
a work,43
progress,24
provide customer,2
fantastic benefit,9
review benefit,3
spend amount,31
direct management,45
the employer,46
grow year,25
| ceo,45
bring attention,55
the state,50
build company,38
breathe neck,55
texas,50
the street,54
an effort,43
start position,30
my direct manager,45
director level,45
move career,24
a fantastic company,37
the development,24
arrogance,52
both employee,46
town,50
a sale,33
your peer,36
sale people,33
help one,39
a property management company,27
your area,50
| stable company,38
local management,45
poor leadership,45
too many chief,41
manage company,38
achieve result,51
the sale team,33
somebody,41
the buck,31
no consequence,52
pride themselves,52
stay time,22
lamar,30
fun place,50
extensive training,32
guy,41
| not many con,8
my kid,41
work lamar,43
| the people,41
go transition,15
fee,31
make thing,63
| technology,44
do year,18
put what,63
other job,43
20+ year,18
motivate you,52
reward you,52
sm,42
your location,50
feel employee,46
few people,41
encourage balance,0
excellent people,41
a very long time,18
our office,56
one big family,40
work goal,51
fantastic place,50
4 year,18
a common goal,51
the base pay,31
any position,30
amazing culture,1
| money,31
a fun environment,57
the territory,50
my interview,43
pay year,18
a positive work environment,57
inventory,33
pay mileage,54
driving,54
mileage,54
bc,50
sale manager,33
stay company,38
spend most,31
talk talk,13
the talk,13
| flexible hour,17
spend day,23
competitive wage,31
a people person,41
sale rep,33
my family,40
get number,11
happen company,38
bring they,63
holiday party,21
look employee,46
| no opportunity,5
the nation,50
the decision,48
one year,18
have opinion,48
wonderful place,50
| istent hour,22
my advice,39
steady hour,22
the same company,38
more help,39
life insurance,14
have money,31
the limit,25
micromanager,45
work most,43
the sale process,33
a set schedule,17
move state,6
another state,50
great atmosphere,57
limit opportunity,5
this team,34
a bit,63
a tendency,58
the customer experience,2
quite a bit,63
incompetence,45
hire position,43
a big family,40
work person,46
have number,11
the guy,41
long time employee,46
have row,63
a multitude,63
have level,29
do office,56
8 year,18
enjoy experience,4
the product,33
their ability,53
no experience,4
stay position,30
train you,32
make sale,33
an assistant,45
one manager,45
come cost,31
other location,50
micromanage,45
have weekend,20
| everything,61
care success,14
| plenty,63
staffed,47
change schedule,17
the bonus structure,10
go day,23
our department,6
take minute,22
the call center,56
the low level,29
need money,31
the rent,26
start day,23
work role,28
4 rent,26
care development,14
the insurance,14
the good decision,48
no weekend,20
provide resource,60
| micro,45
handle issue,59
the difficulty,59
frequent change,15
fix problem,59
the division,54
a shame,59
a focus,55
all position,30
site staff,47
my pay,31
a property manager,27
their appreciation,52
the same pay,31
build culture,1
a good fit,31
self,41
upper mgmt,45
like change,15
many more year,18
take we,63
have system,44
good bonus,10
| constant change,15
improve system,35
find time,22
our culture,1
the good reason,58
what position,30
a few week,18
too many change,15
too much money,31
an excellent company,37
have insurance,14
a new company,38
the company money,31
move department,6
no trust,52
horrible management,45
take toll,54
a toll,54
a decision,48
allow time,22
make schedule,17
your own schedule,17
make management,45
their idea,48
work fun,43
many area,50
bring company,38
a clear vision,55
relaxed environment,57
work who,43
the same amount,31
the first day,23
treat number,11
solid benefit,9
15 year,18
thrive environment,57
some grow pain,25
no day,23
develop team,34
no vision,55
no culture,1
lease agent,26
customer issue,2
the good experience,4
offer day,23
thorough training,32
mentor,32
lie customer,2
pay company,38
| property management,27
get schedule,17
pay rent,26
free coffee,49
my back,55
the room,54
team building,34
| family,40
change |,15
earn bonus,10
almost all,41
less money,31
another thing,61
seniority,45
your phone,11
work lunch,49
good health benefit,9
find reason,58
take consideration,48
pricing,31
get lease,26
a leasing consultant,26
a lease,26
almost everyone,41
assistant manager,45
a mess,59
have respect,52
her team,34
these change,15
a level,29
need guidance,39
deserve it,52
their decision,48
hope,5
come position,30
complete time,22
bring issue,59
| no support,7
full benefit,9
the wrong people,41
essex,50
continuous improvement,35
appearance,55
onsite team,34
bring it,63
deal lot,31
a human,41
change way,16
interact team,34
unit,42
rent unit,26
give year,18
| essex,50
long term employee,46
have resource,60
the training program,32
the good leader,45
move team,34
take pay,31
my salary,31
an apartment,26
the c-suite,45
work essex,43
take money,31
ask raise,19
share experience,4
the window,54
a career path,24
site team,34
call center,56
do property,27
some reason,58
alignment,30
the onsite team,34
essex property trust,27
the property management industry,27
prospect,5
california,50
care associate,14
a commitment,52
their associate,46
pay day,23
move pay,6
promotional opportunity,24
have review,3
the bay area,50
process improvement,35
no integrity,52
a system,44
praise,52
| advancement,24
find solution,59
the result,51
allow opportunity,5
have leader,45
get I,63
know they,62
split day,23
set goal,51
value opinion,48
smoke,49
mirror,55
other opportunity,5
spend family,40
the good employee,46
offer balance,0
a great work/life balance,0
talk it,13
pay bonus,10
the increase,19
lease apartment,26
the apartment,26
renewal,19
the incentive,52
customer complaint,2
training class,32
the balance,0
many property,27
new manager,45
go lot,63
positive change,15
slow day,23
my development,24
make enough,63
live property,27
every property,27
start manager,45
change thing,15
close sunday,20
go change,15
the discount,31
| limited growth opportunity,25
apartment,26
no consideration,52
play part,28
have sunday,20
have presence,4
a high level,29
promote manager,45
promote year,24
an assistant manager,45
seattle,50
continued growth,25
my leader,45
not enough staff,47
have property,27
put team,34
rent increase,26
drive change,6
toxic culture,57
a decent amount,63
over 10 year,18
quarterly bonus,10
the meeting,12
the positive review,3
leave manager,45
assistant,45
the first company,38
a struggle,59
understand need,58
sell unit,33
make much,63
your mind,55
open arm,55
the teamwork,34
ess,42
join family,40
the west coast,50
my decision,48
be job,43
hourly pay,31
10+ year,18
recommend place,50
provide that,63
come background,55
| work weekend,20
have plenty,63
bonus plan,10
care resident,14
customer experience,2
its customer,2
get call,11
great resource,60
have group,40
create experience,4
the bonus program,10
maintenance supervisor,45
such a great company,37
great colleague,36
their family,40
work corporation,38
progression,24
a head,55
much opportunity,5
a pay raise,19
penny,44
the dollar,31
occupancy,26
make less,31
employee training,32
hear company,38
work plenty,43
work building,56
micromanage you,45
have passion,52
the transparency,55
avb,42
work thing,43
positive culture,1
different team,34
most property,27
some property,27
6pm,22
get vacation,21
some good benefit,9
so many thing,61
go property,27
cause lot,63
bill,31
the company goal,38
do which,63
friendly work environment,57
the property level,27
treat child,41
benefit employee,46
different property,27
favor employee,46
the regional manager,45
rental,26
fun atmosphere,57
each property,27
receive training,32
my region,50
get weekend,20
keep property,27
my effort,43
rat,41
one property,27
the question,59
extra money,31
the senior management,45
our opinion,48
this person,41
| great training,32
your decision,48
3 day,18
rsu,42
new leadership,45
| supervisor,45
do customer,2
my management,45
an example,59
rsus,42
excellent culture,1
make progress,24
want you,63
other country,50
put I,63
| micromanagement,45
depend area,50
many manager,45
car,54
walk talk,13
hybrid,17
not everyone,41
get more,63
work equinix,43
partner,36
southern california,50
hear employee,46
rest,21
talk people,13
ego,52
find opportunity,5
middle manager,45
annual review,3
a pay cut,19
| amazing people,41
breakfast,49
work career,24
care job,14
progress career,24
exchange,31
review culture,3
the company's commitment,38
great culture |,1
your hour,22
an amazing culture,1
learn year,18
the vision,55
low,29
our leader,45
tampa,50
the software,44
align value,30
your development,24
9 year,18
| amazing company,37
put customer,2
interesting people,41
extra work,43
digital transformation,44
bring employee,46
scale,25
new year,18
benifit,9
that way,16
literally everything,61
spend hour,22
4 day,18
| excellent company,37
anybody,41
very understanding,13
downtime,21
give everything,63
employer,46
show it,62
love employee,46
move time,22
a huge company,38
care customer,2
the ride,4
see this,62
the good way,16
every person,41
support I,7
speak time,22
the same role,28
merchandise,33
many aspect,61
stick it,63
poor decision,48
no upward mobility,24
do review,3
too much change,15
all hour,22
my teammate,36
care safety,14
the valley,50
give service,2
see opportunity,5
give you,63
your neck,55
engage employee,46
an opinion,48
excitement,52
create opportunity,5
spirit,52
sexism,52
work good,43
take class,32
certain people,41
no job,43
company outing,12
the lease,26
check,62
a product,33
leave it,63
different role,28
come hour,22
further career,24
a hand,55
know job,43
my head,55
ok benefit,9
| poor leadership,45
the president,45
get property,27
a good amount,63
tooth,55
the work hour,22
have help,39
tell manager,45
the clique,40
camden,50
the district manager,45
camden property trust,27
exceed goal,51
work sunday,20
work camden,43
belief,52
| camden,50
have saturday,20
assist you,39
compare job,43
accomplish goal,51
the camden culture,50
drive result,51
nice property,27
a child,41
vacation suite,21
do sale,33
houston,50
live apartment,26
many resource,60
have skin,55
your rent,26
25 year,18
happy employee,46
go process,35
relief,52
home day,23
no place,50
set schedule,17
any decision,48
take opportunity,5
| support,7
the tone,55
waive fee,31
cash,31
rent discount,26
assistant manager |,45
have everything,63
your district manager,45
the health benefit,9
keep company,38
seem company,38
| pay rate,31
the low pay,31
work yourself,43
no career advancement,24
low wage,31
a stable company,38
have difficulty,59
get week,20
atc,6
sell product,33
receive increase,19
focus development,55
see review,3
trust employee,46
sell customer,2
get sale,33
a great work life balance,0
the attitude,52
the other way,16
bathroom,54
kimco,45
upgrade,19
work maa,43
close holiday,21
earn money,31
most saturday,20
get |,63
monthly bonus,10
the united states,50
their rent,26
angry customer,2
get lunch,49
sell property,27
enough people,41
an increase,19
| good hour,22
get apartment,26
love fact,60
equity residential,27
work residential,14
eqr,42
amazing coworker,36
work eqr,43
| equity residential,27
google review,3
get unit,42
all the money,31
manage you,45
| senior leadership,45
too many meeting,12
a location,50
rm,42
cut hour,22
maintain property,27
help need,39
fix anything,59
my district manager,45
my customer,2
work udr,43
udr,42
high pay,31
work butt,43
my co worker,36
that money,31
move job,6
get check,31
get saturday,20
work space,56
site apartment,26
shoe,55
their unit,42
get customer,2
no sunday,20
a store manager,45
auction,33
get sunday,20
upset customer,2
store manager,45
a janitor,46
double coverage,14
customer interaction,2
utah,50
a district manager,45
homeless people,41
your own day,23
dtl,42
every customer,2
hear that,62
work ess,43
all job,43
the store manager,45
our district manager,45
work own,43
get worker,46
physical work,43
janitor,46
a car,54
rate increase,19
people development,24
a phone call,11
travel time,54
sell insurance,14
tell customer,2
have apartment,26
develop people,24
| great hour,22
independent work,43
your own boss,45
rent space,26
collection call,11
have say,48
sell merchandise,33
call customer,2
boy,41
irm,42
driver,54
avalon,50
avalon bay,50
work avb,43
weyerhaeuser,38
| weyerhaeuser,38
move seattle,6
federal way,16
el,42
arbor,50
the mortgage industry,27
esrt,42
work pennymac,43
pennymac,44
loan officer,27
countrywide,50
| pennymac,44
merch,33
tpg,42
fix property,27
work ps,43
relief manager,45
a relief manager,45
relief manager |,45
els,42
